Year,Region,State for Tableau,Eggs,"Food prep. by consumer unit, out-of-town trips","Meats, poultry, fish, and eggs",Bakery products,Beef,Cereals and bakery products,Cereals and cereal products,Dairy products,Fats and oils,Fish and seafood,Food away from home,Food at home,Food,Fresh vegetables,Fresh fruits,Fruits and vegetables,Fresh milk and cream,Miscellaneous foods,Nonalcoholic beverages,Other dairy products,Other food at home,Other meats,Pork,Poultry,Processed fruits,Processed vegetables,Sugar and other sweets,Alcoholic beverages
1999,northeast,New York,55.474589963280295,58.55651162790697,1278.9974908200736,488.4845838433293,366.7486780905753,750.4479253365973,261.963341493268,556.2868604651163,129.44070991432068,204.9477906976744,3692.1421542227667,4752.323206854345,8444.465361077111,258.88141982864136,272.75006731946144,869.1019094247246,208.0297123623011,594.8108812729497,345.1752264381885,348.25714810281517,1299.0299816401468,177.21049571603427,226.5212423500612,249.6356548347613,209.57067319461441,129.44070991432068,171.04665238678092,565.5326254589962
1999,midwest,Iowa,36.983059975520206,57.01555079559363,1009.3293451652388,431.46903304773565,322.0608139534884,659.5312362301103,229.60316401468788,473.07497552019584,115.57206242350064,109.40821909424723,3276.082729498164,4222.2326805385555,7496.774449204407,189.538182374541,201.86586903304772,674.9408445532437,184.91529987760097,682.6456487148102,374.453482252142,288.1596756425949,1405.3562790697674,147.93223990208082,232.68508567931457,161.80088739290085,154.09608323133415,129.44070991432068,174.12857405140758,499.2713096695226
1999,south,Florida,47.76978580171359,46.22882496940024,1138.7700550795594,405.27269889840886,326.6836964504284,641.0397062423501,235.76700734394126,446.87864137086905,127.89974908200732,154.09608323133415,2907.793090575275,4205.2821113831105,7111.534241126071,203.40682986536103,198.78394736842102,694.9733353733169,172.58761321909424,588.6470379436963,359.04387392900856,274.2910281517748,1282.0794124847002,137.1455140758874,261.963341493268,209.57067319461441,155.6370440636475,137.1455140758874,160.25992656058753,394.48597307221536
1999,west,California,63.179394124847,87.83476744186045,1221.98194002448,479.23881884944916,352.8800305997552,747.3660036719707,268.12718482252143,547.0410954712362,144.8503182374541,200.3249082007344,3414.7692044063647,5000.4179008567935,8416.728066095471,283.5367931456548,295.86447980416165,899.9211260709914,198.78394736842102,747.3660036719707,416.0594247246022,348.25714810281517,1585.6486964504284,146.3912790697674,232.68508567931457,226.5212423500612,192.62010403916767,129.44070991432068,187.99722154222766,562.4507037943697
1999,All,,49.31074663402693,60.09747246022032,1154.1796634026928,443.79671970624236,339.01138310893515,690.350452876377,246.55373317013462,496.189388004896,129.44070991432068,163.3418482252142,3260.673121175031,4491.900826193391,7752.573947368422,229.60316401468788,234.22604651162789,770.4804161566707,187.99722154222766,647.2035495716034,372.91252141982864,308.1921664626683,1380.700905752754,149.47320073439414,241.9308506731946,209.57067319461441,174.12857405140758,132.52263157894734,172.58761321909424,490.02554467564255
1998,northeast,New York,51.96478424015009,91.33204502814259,1236.1319887429645,477.13120075046896,368.47756097560966,725.9322889305816,248.80108818011257,510.19969981238273,121.25116322701687,177.94001876172612,3509.984971857411,4593.371988742964,8103.356960600375,253.52515947467168,253.52515947467168,809.3908818011258,190.5375422138837,570.0379362101312,355.88003752345213,319.66215759849905,1311.71712945591,165.34249530956845,229.90480300187613,244.07701688555343,177.94001876172612,125.975234521576,171.64125703564727,579.4860787992495
1998,midwest,Iowa,42.5166416510319,80.3092120075047,1081.8123264540336,442.4880112570356,355.88003752345213,678.6915759849904,236.20356472795498,473.98181988742965,118.10178236397749,114.95240150093807,3166.7024577861157,4291.031425891182,7459.308574108818,203.1350656660413,228.33011257035648,700.7372420262665,190.5375422138837,609.4051969981239,368.47756097560966,283.44427767354597,1357.3831519699809,155.89435272045029,234.62887429643527,176.36532833020638,151.17028142589118,118.10178236397749,181.08939962476543,447.2120825515948
1998,south,Florida,50.3900938086304,66.1369981238274,1118.0302063789868,406.2701313320826,325.96091932457784,607.8305065666042,201.5603752345216,429.890487804878,118.10178236397749,152.74497185741092,2927.349512195122,4081.597598499062,7007.3724202626645,206.2844465290807,198.4109943714822,669.2434333958723,176.36532833020638,574.7620075046905,349.5812757973733,253.52515947467168,1256.6029643527204,130.69930581613508,240.92763602251404,215.7325891181989,144.87151969981238,118.10178236397749,149.59559099437146,392.0979174484052
1998,west,California,59.838236397748595,110.228330206379,1147.9493245778613,450.3614634146341,338.5584427767355,705.4613133208253,255.09984990619137,514.9237711069418,129.1246153846154,176.36532833020638,3376.136285178237,4749.2663414634135,8123.82793621013,269.2720637898687,283.44427767354597,848.7581425891182,207.85913696060035,708.6106941838649,388.94853658536573,308.6393245778612,1532.1737898686679,136.9980675422139,206.2844465290807,229.90480300187613,174.79063789868667,121.25116322701687,196.83630393996248,595.2329831144465
1998,All,,50.3900938086304,83.4585928705441,1138.501181988743,437.7639399624765,343.28251407129454,669.2434333958723,229.90480300187613,473.98181988742965,121.25116322701687,154.31966228893057,3196.62157598499,4377.639399624765,7574.260975609755,228.33011257035648,234.62887429643527,743.2538836772983,188.962851782364,610.9798874296437,363.75348968105067,285.0189681050656,1351.0843902439024,144.87151969981238,229.90480300187613,215.7325891181989,159.04373358348968,119.67647279549719,171.64125703564727,486.5793433395872
1997,northeast,New York,57.994548944337815,91.82470249520155,1271.0471976967372,525.1728598848368,344.7453742802304,811.9236852207292,285.1398656429942,526.7838195777351,136.93157389635314,173.9836468330134,3846.971746641075,4784.5502879078695,8631.522034548945,260.97547024952013,272.25218809980805,845.7538387715932,209.42476007677539,557.3920537428022,367.298809980806,318.970019193858,1329.0417466410747,180.4274856046065,227.1453166986564,285.1398656429942,185.2603646833013,127.26581573896351,175.59460652591167,610.5537236084452
1997,midwest,Iowa,40.27399232245681,88.60278310940498,1068.0662763915543,470.40023032629546,333.46865642994237,718.4880230326296,248.087792706334,496.175585412668,117.60005758157386,93.4356621880998,3047.9357389635315,4412.418598848368,7460.354337811899,196.53708253358926,235.20011516314773,692.7126679462573,207.81380038387715,657.2715547024952,386.6303262955854,288.3617850287908,1436.9760460652592,162.70692898272551,246.47683301343568,191.70420345489444,148.2082917466411,112.76717850287909,186.8713243761996,492.95366602687136
1997,south,Florida,49.93975047984645,64.4383877159309,1213.0526487523994,428.51527831094046,378.57552783109406,668.5482725527829,240.03299424184257,467.178310940499,130.48773512476006,136.93157389635314,2666.138291746641,4463.969309021113,7130.107600767754,201.36996161228404,211.0357197696737,705.6003454894434,191.70420345489444,623.4414011516315,407.57280230326285,275.4741074856046,1411.2006909788868,141.76445297504796,278.6960268714011,227.1453166986564,149.81925143953933,143.37541266794625,185.2603646833013,368.9097696737044
1997,west,California,66.04934740882918,99.8795009596929,1246.882802303263,481.6769481765835,375.3536084452975,763.5948944337812,281.9179462571977,555.781094049904,138.54253358925143,177.20556621880996,3144.593320537428,5034.249040307102,8178.842360844529,283.52890595009586,273.8631477927063,871.5291938579654,225.53435700575812,766.8168138195778,404.3508829174664,330.2467370441458,1596.461055662188,144.98637236084448,241.6439539347409,243.2549136276392,186.8713243761996,127.26581573896351,188.48228406909786,607.3318042226488
1997,All,,53.161669865643,83.76990403071018,1196.9430518234165,470.40023032629546,360.854971209213,729.7647408829173,259.3645105566219,505.8413435700576,130.48773512476006,143.37541266794625,3094.653570057581,4639.5639155470235,7734.217485604606,230.36723608445288,241.6439539347409,766.8168138195778,206.2028406909789,649.2167562380038,394.6851247600768,299.63850287907866,1441.808925143954,154.65213051823415,252.9206717850288,233.5891554702495,164.3178886756238,128.8767754318618,183.6494049904031,497.7865451055662
1996,northeast,New York,55.100590185676396,66.78859416445624,1332.432453580902,519.2813196286471,352.30983421750665,816.4905636604774,298.87895888594164,571.0424801061008,148.60462201591508,188.67777851458885,3204.182805039788,5042.538859416445,8248.391379310344,285.5212400530504,277.17266578249337,908.3248806366048,225.41150530503975,592.748773209549,415.7589986737401,345.63097480106103,1415.9181962864718,195.35663793103447,243.7783687002652,300.548673740053,215.39321618037133,128.56804376657828,192.0172082228117,589.4093435013262
1996,midwest,Iowa,48.42173076923078,83.4857427055703,1143.754675066313,472.5293037135279,342.2915450928382,743.0231100795756,270.4938063660477,535.9784681697612,133.57718832891248,111.87089522546421,3093.981624668435,4721.953607427055,7815.93523209549,218.73264588859416,252.12694297082228,771.4082625994695,230.420649867374,676.2345159151192,444.1441511936339,305.55781830238726,1529.4588063660474,168.64120026525197,270.4938063660477,202.0354973474801,170.31091511936341,128.56804376657828,193.6869230769231,517.6116047745356
1996,south,Florida,55.100590185676396,75.13716843501325,1237.2587068965518,440.80472148541116,370.67669761273214,694.6013793103447,255.4663726790451,459.17158488063654,135.24690318302387,133.57718832891248,2848.533541114058,4549.972977453581,7398.506518567639,215.39321618037133,217.06293103448277,729.6653912466843,203.70521220159145,632.8219297082227,407.4104244031829,255.4663726790451,1430.9456299734748,151.9440517241379,287.19095490716177,237.09950928381957,163.63205570291774,135.24690318302387,180.32920424403184,455.83215517241376
